survey_date,panel,slug,subquestion,question_id,economist_last,economist_first,economist_id,question_text,response,confidence,explanation,signed
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Acemoglu,Daron,daron_acemoglu,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,4,NA,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Alesina,Alberto,alberto_alesina,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,9,NA,-2
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Altonji,Joseph,joseph_altonji,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Did Not Answer,NA,NA,NA
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Auerbach,Alan,alan_auerbach,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,6,NA,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Autor,David,david_autor,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,8,Rent control discourages supply of rental units. Incumbent renters benefit from capped prices. New renters face reduced rental options.,-2
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Baicker,Katherine,katherine_baicker,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,5,NA,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Bertrand,Marianne,marianne_bertrand,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Did Not Answer,NA,NA,NA
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Chetty,Raj,raj_chetty,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,7,NA,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Chevalier,Judith,judith_chevalier,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,9,Rent control will have similar effects to any price control.,-2
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Currie,Janet,janet_currie,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,5,NA,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Cutler,David,david_cutler,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,3,I suspect zoning and building limits have been more important.,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Deaton,Angus,angus_deaton,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,9,NA,-2
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Duffie,Darrell,darrell_duffie,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Uncertain,2,NA,0
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Edlin,Aaron,aaron_edlin,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,1,Rent control lowers incentives to invest and increases incentives to hold underoccupied rentals,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Eichengreen,Barry,barry_eichengreen,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Uncertain,2,NA,0
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Fair,Ray,ray_fair,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,10,NA,-2
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Goldberg,Pinelopi,pinelopi_goldberg,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Uncertain,5,"Price controls create disincentives to increase supply. But without rent control, no one outside the top 1% would be left in Manhattan.",0
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Goldin,Claudia,claudia_goldin,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,7,NA,-2
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Goolsbee,Austan,austan_goolsbee,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Disagree,5,NA,-1
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Greenstone,Michael,michael_greenstone,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,8,Great if you are lucky enough to get one of those apartments!  Bad for all others The worst policies apply to new construction.,-2
2012-02-07,US,rent_control,A,2012_02_07_rent_control_A,Hall,Robert,robert_hall,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Strongly Disagree,9,NA,-2
